,Train SSE,Validation SSE,Epochs for conergence
1.0,,,
0.1,,,
0.01,,,
0.001,,,
0.0001,,,
1e-05,0.002152166291137692,12.127015830331455,11
1e-06,0.0034255364522445945,230512.46829984506,11
1e-07,0.006574391798269963,1081831795.829823,11
