,0.0,0.001,0.01,0.1,1.0,10.0,100.0
year,0.007183314019491097,0.007183313839860733,0.007183312223187767,0.007183296056486645,0.007183134392332049,0.007181518036373279,0.0071653829637043105
month,0.011422991422130865,0.011422991136652058,0.011422988567343374,0.011422962874302348,0.011422705948479559,0.011420137148879772,0.0113944948951177
day,0.009301196436453333,0.009301196351746584,0.009301195589385265,0.009301187965711076,0.009301111722873269,0.009300348685218805,0.009292657692388169
bedrooms,0.0026015634113148193,0.002601563278526094,0.0026015620834281103,0.0026015501325035413,0.0026014306287818322,0.002600236143752852,0.0025883463005587203
bathrooms,0.010338955498507808,0.010338954858837563,0.01033894910180832,0.010338891531809329,0.010338315861169367,0.010332562088603704,0.010275316600814917
sqft_living,0.010688668243145587,0.010688667494049503,0.010688660752188382,0.010688593333938526,0.010687919187575593,0.010681181336086077,0.010614162613258956
sqft_lot,0.00044253512557662156,0.0004425350965031494,0.00044253483484203693,0.00044253221824459794,0.00044250605363844396,0.0004422445443474783,0.0004396430748527441
floors,0.009284853029750684,0.009284852470130759,0.009284847433553964,0.009284797068040026,0.009284293438295465,0.009279259679337933,0.009229174948092484
waterfront,0.002167416890589197,0.0021674166880072563,0.00216741486477087,0.0021673966325137213,0.002167214320613833,0.0021653922683476734,0.00214727799347327
view,0.008940455240193284,0.008940454458615785,0.008940447424422399,0.008940377082893402,0.008939673708089445,0.008932644007033806,0.008862750082231191
condition,0.01516581376975849,0.015165813263281688,0.015165808704991844,0.015165763122238307,0.01516530730918951,0.015160750626833659,0.015115328113277723
grade,0.018022225006994057,0.018022223916020343,0.018022214097261995,0.018022115910174278,0.018021134088851483,0.018011320829144417,0.017913681654662367
sqft_above,0.009646282558731421,0.009646281892645278,0.009646275897873247,0.009646215950472431,0.009645616508416489,0.009639625281809571,0.009580031154988889
sqft_basement,0.007301170129086878,0.007301169586320921,0.007301164701429994,0.007301115852788155,0.00730062739311166,0.0072957454694765255,0.007247192489841772
yr_built,0.014041588617217837,0.01404158828192069,0.014041585264246738,0.014041555087553679,0.014041253325264855,0.014038236166448727,0.014008110875710914
yr_renovated,0.0032040457963779627,0.0032040455432420525,0.003204043265020156,0.00320402048292853,0.003203792674745888,0.00320151586577437,0.0031788745561978043
zipcode,0.0074162119107773926,0.007416211825930473,0.0074162110623078184,0.0074162034260442785,0.007416127059707618,0.00741536302641457,0.007407685900299372
lat,0.02132946641831214,0.021329465402125304,0.021329456256447943,0.02132936480007882,0.02132845027684494,0.021319309088710176,0.021228300093756904
long,0.005929256926973803,0.005929256761487107,0.005929255272107171,0.005929240378343235,0.005929091444244107,0.00592760245716431,0.005912747866133239
sqft_living15,0.013355566437104395,0.0133555655781383,0.013355557847447366,0.013355480540938788,0.013354707515920423,0.013346981270916488,0.013270117770779506
sqft_lot15,0.0006035135424300078,0.0006035135060830363,0.0006035131789604647,0.0006035099077512343,0.0006034771973071743,0.0006031502576270921,0.0005998972726384669
