,Train SSE,Validation SSE
0.0,0.0020846154069002077,11.751603115568745
0.001,0.002084615432444524,228281.0669016038
0.01,0.002084615662343964,1081548687.0876484
0.1,0.0020846179613981043,5014466285741.6875
1.0,0.0020846409579105495,2.324159127825742e+16
10.0,0.0020848715196127607,1.0772214279726396e+20
100.0,0.00208723626637682,4.992798951381326e+23
